fund_symbol,fund_short_name,fund_long_name,fund_category,fund_family,fund_return_1year,fund_return_3years,fund_return_5years,fund_return_10years,fund_sharpe_ratio_5years,fund_treynor_ratio_5years
AAAU,DWS RREEF Real Assets Fund - Cl,DWS RREEF Real Assets Fund - Class A,,DWS,-0.079,0.146,0.08785,0.0542,0.6,9.4
AADR,AllianzGI Health Sciences Fund ,Virtus AllianzGI Health Sciences Fund Class P,Foreign Large Growth,Virtus,0.2587,0.0803,0.1188,0.083,0.62,9.66
AAXJ,,American Century One Choice Blend+ 2015 Portfolio Investor Class,Pacific/Asia ex-Japan Stk,American Century Investments,0.1859,0.0804,0.1067,0.0535,0.66,10.37
ABEQ,Thrivent Large Cap Growth Fund ,Thrivent Large Cap Growth Fund Class A,Large Value,Thrivent Funds,0.2252,0.0864,0.08785,0.0542,0.6,9.4
ACES,,American Century One Choice Blend+ 2015 Portfolio I Class,Miscellaneous Sector,American Century Investments,0.9507,0.462,0.08785,0.0542,0.6,9.4
ACIO,American Century Strategic Allo,American Century Strategic Allocation: Aggressive Fund I Class,,American Century Investments,0.2055,0.0864,0.08785,0.0542,0.6,9.4
ACSI,,American Century One Choice Blend+ 2015 Portfolio A Class,Large Blend,American Century Investments,0.4211,0.1706,0.08785,0.0542,0.6,9.4
ACTV,,American Century One Choice Blend+ 2015 Portfolio R Class,Small Value,American Century Investments,0.353,0.0864,0.08785,0.0542,0.6,9.4
ACWI,,American Century One Choice Blend+ 2015 Portfolio R6 Class,,American Century Investments,0.3932,0.1465,0.147,0.1001,0.95,13.66
ACWV,,American Century One Choice Blend+ 2020 Portfolio Investor Class,,American Century Investments,0.1951,0.0977,0.0854,0.0542,0.74,11.56
ACWX,Horizon Active Asset Allocation,Horizon Active Asset Allocation Fund Investor Class,Foreign Large Blend,Horizon Investments,0.3568,0.0943,0.1082,0.0524,0.7,9.72
ADFI,,American Century One Choice Blend+ 2020 Portfolio I Class,Multisector Bond,American Century Investments,0.353,0.0864,0.08785,0.0542,0.6,9.4
ADIV,DWS RREEF Real Assets Fund - Cl,DWS RREEF Real Assets Fund - Class C,Pacific/Asia ex-Japan Stk,DWS,0.353,0.0864,0.08785,0.0542,0.78,12.15
ADRE,DWS RREEF Real Assets Fund - Cl,DWS RREEF Real Assets Fund - Class R,Diversified Emerging Mkts,DWS,0.121,0.1016,0.108,0.0427,0.57,8.75
AEMB,American Century Strategic Allo,American Century Strategic Allocation: Aggressive Fund R Class,Emerging Markets Bond,American Century Investments,0.353,0.0864,0.08785,0.0542,0.6,9.4
AESR,DWS RREEF Real Assets Fund - Cl,DWS RREEF Real Assets Fund - Class S,Large Blend,DWS,0.3832,0.0864,0.08785,0.0542,0.6,9.4
