fund_symbol,fund_short_name,fund_long_name,fund_category,fund_family,fund_return_1year,fund_return_3years,fund_return_5years,fund_return_10years,fund_return_last_bull_market,fund_return_last_bear_market
AAAAX,DWS RREEF Real Assets Fund - Cl,DWS RREEF Real Assets Fund - Class A,World Allocation,DWS,0.2297,0.13811,0.09078,0.06058,0.0811,-0.1123
AAAEX,AllianzGI Health Sciences Fund ,Virtus AllianzGI Health Sciences Fund Class P,Health,Virtus,0.23934,0.0911,0.0783,0.0785,0.1989,-0.1497
AAAFX,,American Century One Choice Blend+ 2015 Portfolio Investor Class,Target-Date 2015,American Century Investments,0.2505,0.0911,0.0783,0.0785,0.1668,-0.159
AAAGX,Thrivent Large Cap Growth Fund ,Thrivent Large Cap Growth Fund Class A,Large Growth,Thrivent Funds,0.30705,0.31791,0.19264,0.19622,0.2719,-0.2007
AAAHX,,American Century One Choice Blend+ 2015 Portfolio I Class,Target-Date 2015,American Century Investments,0.2505,0.0911,0.0783,0.0785,0.1668,-0.159
AAAIX,American Century Strategic Allo,American Century Strategic Allocation: Aggressive Fund I Class,Allocation--70% to 85% Equity,American Century Investments,0.19515,0.17981,0.11902,0.11973,0.208,-0.1585
AAAJX,,American Century One Choice Blend+ 2015 Portfolio A Class,Target-Date 2015,American Century Investments,0.2505,0.0911,0.0783,0.0785,0.1668,-0.159
AAAKX,,American Century One Choice Blend+ 2015 Portfolio R Class,Target-Date 2015,American Century Investments,0.2505,0.0911,0.0783,0.0785,0.1668,-0.159
AAALX,,American Century One Choice Blend+ 2015 Portfolio R6 Class,Target-Date 2015,American Century Investments,0.2505,0.0911,0.0783,0.0785,0.1668,-0.159
AAAMX,,American Century One Choice Blend+ 2020 Portfolio Investor Class,Target-Date 2020,American Century Investments,0.2505,0.0911,0.0783,0.0785,0.1668,-0.159
AAANX,Horizon Active Asset Allocation,Horizon Active Asset Allocation Fund Investor Class,Tactical Allocation,Horizon Investments,0.24963,0.16541,0.11116,0.0785,0.031,-0.159
AAAOX,,American Century One Choice Blend+ 2020 Portfolio I Class,Target-Date 2020,American Century Investments,0.2505,0.0911,0.0783,0.0785,0.1668,-0.159
AAAPX,DWS RREEF Real Assets Fund - Cl,DWS RREEF Real Assets Fund - Class C,World Allocation,DWS,0.22192,0.12995,0.08282,0.05266,0.0768,-0.1148
AAAQX,DWS RREEF Real Assets Fund - Cl,DWS RREEF Real Assets Fund - Class R,World Allocation,DWS,0.22753,0.13566,0.08804,0.05827,0.0807,-0.1134
AAARX,American Century Strategic Allo,American Century Strategic Allocation: Aggressive Fund R Class,Allocation--70% to 85% Equity,American Century Investments,0.18624,0.17183,0.11112,0.11194,0.2015,-0.1598
AAASX,DWS RREEF Real Assets Fund - Cl,DWS RREEF Real Assets Fund - Class S,World Allocation,DWS,0.23215,0.14007,0.09246,0.06228,0.0818,-0.1104
AAATX,American Fds 2010 Target Date R,American Funds 2010 Target Date Retirement Fund Class A,Target-Date 2000-2010,American Funds,0.09094,0.09634,0.07004,0.07475,0.113,-0.0688
AAAUX,American Century Strategic Allo,American Century Strategic Allocation: Aggressive Fund R6 Class,Allocation--70% to 85% Equity,American Century Investments,0.19755,0.1817,0.12085,0.0785,0.2055,-0.1591
AAAVX,DWS RREEF Real Assets Fund - Cl,DWS RREEF Real Assets Fund - Class R6,World Allocation,DWS,0.23447,0.14165,0.09407,0.0785,0.083,-0.1114
AAAWX,DWS RREEF Real Assets Fund - Cl,DWS RREEF Real Assets Fund - Class T,World Allocation,DWS,0.23085,0.13853,0.0783,0.0785,0.0814,-0.1123
AAAZX,DWS RREEF Real Assets Fund - Cl,DWS RREEF Real Assets Fund - Class Inst,World Allocation,DWS,0.23444,0.14163,0.09408,0.06397,0.083,-0.1114
AABAX,Cavanal Hill Active Core Fd Cl ,Cavanal Hill Active Core Fund Class A,Allocation--50% to 70% Equity,Cavanal Hill funds,0.14092,0.13046,0.08549,0.08896,0.1407,-0.0937
AABCX,Putnam Dynamic Asset Allocation,Putnam Dynamic Asset Allocation Balanced Fund Class C,Allocation--50% to 70% Equity,Putnam,0.15169,0.12114,0.08081,0.09439,0.1633,-0.1396
AABEX,,American Century One Choice Blend+ 2020 Portfolio A Class,Target-Date 2020,American Century Investments,0.2505,0.0911,0.0783,0.0785,0.1668,-0.159
AABFX,Thrivent Balanced Income Plus F,Thrivent Balanced Income Plus Fund Class A,Allocation--30% to 50% Equity,Thrivent Funds,0.13874,0.11024,0.07664,0.08899,0.1802,-0.1543
AABGX,,American Century One Choice Blend+ 2020 Portfolio R Class,Target-Date 2020,American Century Investments,0.2505,0.0911,0.0783,0.0785,0.1668,-0.159
AABHX,,American Century One Choice Blend+ 2020 Portfolio R6 Class,Target-Date 2020,American Century Investments,0.2505,0.0911,0.0783,0.0785,0.1668,-0.159
AABJX,,American Century One Choice Blend+ 2025 Portfolio Investor Class,Target-Date 2025,American Century Investments,0.2505,0.0911,0.0783,0.0785,0.1668,-0.159
AABKX,,American Century One Choice Blend+ 2025 Portfolio I Class,Target-Date 2025,American Century Investments,0.2505,0.0911,0.0783,0.0785,0.1668,-0.159
AABOX,Cavanal Hill Bond Fd Cl A Shs,Cavanal Hill Bond Fund Class A,Intermediate Core Bond,Cavanal Hill funds,-0.01553,0.04457,0.02473,0.02652,0.0315,0.0405
AABPX,American Beacon Balanced Fund I,American Beacon Balanced Fund Investor Class,Allocation--50% to 70% Equity,American Beacon,0.17527,0.12768,0.09073,0.10143,0.1806,-0.1121
